uuid,player,course,time,plays
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,16,14400,1
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,26,9344,1
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,400,15406,1
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,1402,15796,1
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,11,8804,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,602,13098,3
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,605,11198,3
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,203,27201,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,16,14744,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,26,9099,2
3c82958c-49ea-46b7-867c-581b23699b81,Desire_PvP,7,27047,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,7,27050,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,304,61889,2
3c82958c-49ea-46b7-867c-581b23699b81,Desire_PvP,304,96395,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,100,56251,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,201,30896,4
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,1,17351,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,25,12849,4
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,16,14947,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,17,18494,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,21,26001,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2000,15099,3
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2000,14845,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2001,16154,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2001,14795,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,2031,48004,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,602,14551,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,605,12599,2
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,30,22497,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,604,11148,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,604,10850,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,605,12300,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,28,18152,5
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,22,10900,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,9,8848,7
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,8,12893,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,29,32902,1
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,26,8903,3
70a58636-0545-44cc-b6e1-1fe7362544c6,xpawelekk_,400,16249,1
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,401,14551,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,601,9298,5
