uuid,player,course,time,plays
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,5,7145,3
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,12,18851,1
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,14,16350,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,122,15750,6
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,26,7800,6
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,110,17504,8
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,110,18320,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,18,14854,5
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,209,4003,8
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,207,15841,10
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,123,9653,5
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,2032,35550,10
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,211,13900,4
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,220,35253,8
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,219,12452,11
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,212,7598,7
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,205,16953,7
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,202,19149,5
